GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
API Gateway,com.prav.gateway.filter,JwtFilter2,29,180,9,7,8,43,8,5,1,4
API Gateway,com.prav.gateway,GatewayApplication,8,0,0,0,3,0,2,0,2,0
API Gateway,com.prav.gateway.config,CorsConfig,33,0,0,0,9,0,2,0,2,0
API Gateway,com.prav.gateway.config,SecurityConfig,7,188,0,0,2,26,1,7,1,7
